feature,importance_mean,importance_std
hole_number,0.3133807913372185,0.07212057668802566
equipment,0.10305311509456497,0.3003533341563704
operator,0.07202312199333374,0.06449504002230452
hole_row_index,0.00011290044383720499,0.0008227153069251228
best_available_diameter_mm,0.0,0.0
design_diameter_mm,0.0,0.0
hole_type,0.0,0.0
material,0.0,0.0
diameter_deviation_mm,0.0,0.0
length_m,0.0,0.0
redrill_flag,0.0,0.0
wet,0.0,0.0
day_of_week,0.0,0.0
day_of_month,0.0,0.0
week_of_year,0.0,0.0
is_weekend,0.0,0.0
