model,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,fit_time_seconds,holdout_mae,holdout_rmse,holdout_r2,status
ElasticNet,9.113202385426614,1.3749511529957625,12.598737560184304,1.8384665576660355,0.10973385775581265,0.09301280915941651,0.17786455154418945,9.614224700761472,12.914200449854969,-0.008323841112912289,success
AdaBoost,9.302445587487759,1.4237986047642945,12.820126551758154,2.0142554928809218,0.07374003232460746,0.1539574721107815,3.235961675643921,9.928029167241156,13.217996308955447,-0.056321798862366323,success
RandomForest,9.482429637031524,1.2476065148992626,13.138774764200054,1.9360702628140527,0.03349350741940995,0.08202552499347662,4.169647455215454,9.059892350553682,12.943056127584477,-0.012834902256002145,success
ExtraTrees,9.903673338799013,1.4728123415484295,13.528589519316899,1.9503493146054796,-0.03580018822629236,0.1809383358053161,3.4576785564422607,9.776883080602298,13.361323048286797,-0.0793540329525324,success
KNN,10.020529620409462,1.5238529835537757,13.564475769401295,1.7687569626969735,-0.04617866488365163,0.19546580037099956,0.13040447235107422,8.561931636996505,12.05061323678944,0.122022703298445,success
GradientBoosting,10.140137236476395,1.0420125448991104,13.685920252504019,1.653617960244259,-0.05950202012609931,0.12978473397680726,6.556957244873047,9.485196366486056,13.187524817580202,-0.051457128208086234,success
DummyMedian,9.827341866450222,1.0933760122615153,13.698237819345033,2.073442011860786,-0.04660778490109703,0.05579990514439394,0.16378259658813477,9.808333333333334,12.937666493062585,-0.011991566131153597,success
HistGradientBoosting,10.214973319357833,1.709862861873836,13.73569302442839,2.2365842398438724,-0.061874201259170133,0.17313657623605205,3.5189216136932373,9.667176095769026,13.227672133888184,-0.057868860226882424,success
CatBoost,10.12257862934909,1.2821708123895899,13.750021385547274,1.7681343638279456,-0.06684328215277598,0.1273257030878989,2.9824116230010986,9.745713048957192,13.280028161273215,-0.06625966714446463,success
LightGBM,10.404407787640885,1.7836006820315278,13.87496819912757,2.316946812743971,-0.08249154894129243,0.17429452371203438,1.0798470973968506,9.528063308441405,13.10607168460272,-0.03850852933833604,success
Ridge,9.619964938957612,1.622611128246623,13.982030046113739,3.1734117952901135,-0.14176183581684781,0.49127419284897395,0.1464993953704834,9.585369402508448,13.142546495429599,-0.044297008622895095,success
XGBoost,10.32802291706371,1.3747964428552848,14.047413106695819,2.0168984367559317,-0.1052616532616966,0.0841016503887482,1.5001869201660156,9.977278868357342,13.45799279594778,-0.09502887847663377,success
SVR_RBF,10.746867488258527,2.2112304169484935,14.3694433141672,2.064325889374994,-0.20294815619579842,0.37268298000240674,0.2544865608215332,9.692465002670106,13.006414605662428,-0.022775173394146364,success
Huber,10.59715891204539,2.6096134719816564,16.949490195187067,7.9423602795397645,-0.9629097623630894,2.0104137171305068,0.32457590103149414,9.517569273769158,13.007805231581333,-0.02299389219458492,success
