date,holes,total_length_m,mean_rate_m_per_hr,median_rate_m_per_hr,estimated_drilling_hours,redrill_rate_pct,wet_rate_pct,quality_flag_rate_pct,valid_model_rows
2025-11-13,155,2282.0,55.602,43.849999999999994,51.330676609372546,0.0,0.0,1.2903225806451613,148
2025-11-15,131,1956.2,60.7093023255814,41.2,47.98477580635258,0.0,6.106870229007633,8.396946564885496,118
2025-11-14,114,1739.2,51.650442477876105,43.9,39.38251090270541,0.0,0.0,3.508771929824561,109
2025-11-11,105,1558.1,46.18557692307692,41.349999999999994,38.46378640414552,0.0,0.0,2.857142857142857,101
2025-11-12,101,1493.2,45.49183673469388,41.3,37.09521357577227,0.0,0.0,3.9603960396039604,94
2025-11-16,66,1030.7,54.247540983606555,39.9,21.895520355795323,0.0,19.696969696969695,9.090909090909092,55
2025-11-17,29,471.59999999999997,78.1793103448276,49.6,11.075200777201113,0.0,3.4482758620689653,13.793103448275861,25
2025-12-08,27,414.4,,,0.0,100.0,0.0,0.0,0
2025-11-10,9,129.3,46.48888888888889,48.4,3.1368926724068724,0.0,0.0,0.0,9
2025-11-18,6,97.8,318.78333333333336,43.25,1.9813328396509458,0.0,0.0,33.33333333333333,4
Unknown,6,0.0,,,0.0,0.0,33.33333333333333,0.0,0
